,temp_outdoor,hum_outdoor,co2_outdoor,temp_living_room,hum_living_room,co2_living_room,tvoc_living_room,pm25_living_room,pir_living_room,pres_living_room,pm10_living_room,temp_indoor,hum_indoor,co2_indoor,current_fridge,power_fridge,voltage_fridge,energy_fridge,om_cloud_cover,om_temperature,om_humidity,om_rain,om_radiation,pv_energy,pv_power,pp_energy,synergy_consumption,synergy_production,synergy_net,f_temp_indoor,f_temp_outdoor,f_solar_norm,f_grid_import_norm,f_grid_export_norm,f_hour_sin,f_hour_cos,f_t_lag_1h,f_t_lag_2h,f_t_lag_3h,f_indoor_outdoor_delta,datetime_perth,epoch
2025-05-08 11:00:00+08:00,23.069999999999997,56.13333333333333,0.0,,,,,,,,,19.86,63.56666666666666,0.0,,,,,0.0,23.1,52.0,0.0,525.9,3.1389024999999995,3138.9025,,0.0,1.1100000143051147,1.1100000143051147,0.4124967924044136,0.5032516258129064,0.692148673135309,0.0,0.5661821031498128,0.258819045102521,-0.9659258262890682,0.3974852450603027,0.3886322812419809,0.38555298947908645,-0.09075483340849277,2025-05-08 11:00:00,1746673200
2025-05-08 12:00:00+08:00,24.953333333333333,50.6,0.0,,,,,,,,,20.366666666666667,63.56666666666666,0.0,,,,,0.0,25.1,46.0,0.0,576.5,3.3253205555555554,3325.3205555555555,,0.0,1.1694999933242798,1.1694999933242798,0.43199897356941236,0.5503585125896282,0.7332550820795951,0.0,0.5965314930816048,1.2246467991473532e-16,-1.0,0.4124967924044136,0.3974852450603027,0.3886322812419809,-0.11835953902021584,2025-05-08 12:00:00,1746676800
2025-05-08 13:00:00+08:00,25.95,46.23333333333333,0.0,,,,,,,,,20.923333333333332,62.76666666666667,0.0,,,,,0.0,26.7,42.0,0.0,565.1,3.0586327777777775,3058.6327777777774,,0.0,1.0115000009536743,1.0115000009536743,0.45342571208622007,0.575287643821911,0.6744486707526128,0.0,0.5159398112571268,-0.2588190451025208,-0.9659258262890683,0.43199897356941236,0.4124967924044136,0.3974852450603027,-0.12186193173569093,2025-05-08 13:00:00,1746680400
2025-05-08 14:00:00+08:00,26.603333333333335,42.63333333333333,0.0,,,,,,,,,21.26666666666667,62.800000000000004,0.0,,,,,0.0,27.7,38.0,0.0,494.0,2.517069166666666,2517.0691666666667,,0.0,0.7725000083446503,0.7725000083446503,0.46664100590197594,0.591629147907287,0.5550303279245313,0.0,0.3940321385325649,-0.4999999999999998,-0.8660254037844388,0.45342571208622007,0.43199897356941236,0.4124967924044136,-0.12498814200531111,2025-05-08 14:00:00,1746684000
2025-05-08 15:00:00+08:00,26.399999999999995,38.6,0.0,,,,,,,,,21.540000000000003,61.56666666666666,0.0,,,,,0.0,28.2,33.0,0.0,372.5,1.5146791666666664,1514.6791666666668,,0.0049999998882412,0.2770000025629997,0.27200000267475855,0.4771619194251989,0.5865432716358179,0.33399673147988157,0.000953470576072715,0.14129048829049196,-0.7071067811865471,-0.7071067811865479,0.46664100590197594,0.45342571208622007,0.43199897356941236,-0.10938135221061895,2025-05-08 15:00:00,1746687600
2025-05-08 16:00:00+08:00,25.133333333333336,43.63333333333333,0.0,,,,,,,,,21.689999999999998,60.300000000000004,0.0,,,,,0.0,28.1,33.0,0.0,214.3,0.36670333333333294,366.7033333333333,,1.209999993443489,0.0,-1.209999993443489,0.482935591480626,0.5548607637151911,0.08086049999990812,0.2307398833167515,0.0,-0.8660254037844384,-0.5000000000000004,0.4771619194251989,0.46664100590197594,0.45342571208622007,-0.07192517223456513,2025-05-08 16:00:00,1746691200
2025-05-08 17:00:00+08:00,23.076666666666668,52.93333333333334,0.0,,,,,,,,,21.906666666666666,61.699999999999996,0.0,,,,,0.0,25.6,53.0,0.0,55.3,0.019715833333333054,19.715833333333332,,0.7339999973773956,0.0,-0.7339999973773956,0.49127534000513207,0.503418375854594,0.004347471092658521,0.13996948319592364,0.0,-0.9659258262890683,-0.25881904510252063,0.482935591480626,0.4771619194251989,0.46664100590197594,-0.01214303584946197,2025-05-08 17:00:00,1746694800
2025-05-08 18:00:00+08:00,21.613333333333333,56.43333333333334,0.0,,,,,,,,,22.083333333333332,62.9,0.0,,,,,0.0,23.0,56.0,0.0,0.0,0.0,0.0,,0.6150000095367432,0.0,-0.6150000095367432,0.4980754426481908,0.46681674170418547,0.0,0.11727688529688954,0.0,-1.0,-1.8369701987210297e-16,0.49127534000513207,0.482935591480626,0.4771619194251989,0.031258700944005346,2025-05-08 18:00:00,1746698400
2025-05-08 19:00:00+08:00,20.51,60.300000000000004,0.0,,,,,,,,,22.17,62.833333333333336,0.0,,,,,0.0,21.6,59.0,0.0,0.0,0.0,,,0.8640000224113464,0.0,-0.8640000224113464,0.5014113420579933,0.43921960980490254,,0.16475972350174684,0.0,-0.9659258262890684,0.2588190451025203,0.4980754426481908,0.49127534000513207,0.482935591480626,0.06219173225309077,2025-05-08 19:00:00,1746702000
2025-05-08 20:00:00+08:00,19.983333333333334,61.03333333333333,0.0,,,,,,,,,22.093333333333334,58.23333333333333,0.0,,,,,0.0,20.7,61.0,0.0,0.0,0.0,,,2.0559999346733093,0.0,-2.0559999346733093,0.4984603541185527,0.42604635651158923,,0.3920670971870746,0.0,-0.8660254037844386,0.5000000000000001,0.5014113420579933,0.4980754426481908,0.49127534000513207,0.07241399760696349,2025-05-08 20:00:00,1746705600
